"datetime","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2021-10-17 03:00:00,0.591033333333333,0.554783333333333,0.515966666666667,0.502816666666667,0.477533333333333,0.459683333333333,0.45855,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 04:00:00,0.501116666666667,0.490883333333333,0.46275,0.454016666666667,0.434483333333333,0.4193,0.419533333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 05:00:00,0.442066666666667,0.436633333333333,0.412133333333333,0.405183333333333,0.388233333333333,0.375016666666667,0.375616666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 06:00:00,0.4669,0.4631,0.43735,0.42955,0.411033333333333,0.39915,0.399,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 07:00:00,0.569766666666667,0.574933333333333,0.543,0.533716666666667,0.508616666666667,0.491816666666667,0.491183333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 08:00:00,0.63905,0.637216666666667,0.5995,0.587583333333333,0.558266666666667,0.54105,0.540533333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 09:00:00,0.779133333333333,0.776183333333333,0.732966666666667,0.718816666666667,0.680866666666667,0.659383333333333,0.65945,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 10:00:00,0.97675,0.969916666666667,0.917483333333333,0.901866666666667,0.8546,0.8323,0.833683333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 11:00:00,0.98615,0.9707,0.91575,0.89725,0.84625,0.815766666666667,0.817483333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 12:00:00,1.03936666666667,1.01376666666667,0.956066666666667,0.935283333333333,0.881583333333333,0.8476,0.851983333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 13:00:00,0.981,0.953733333333333,0.89645,0.8745,0.8219,0.783083333333333,0.788666666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 14:00:00,0.91475,0.883866666666667,0.82835,0.805466666666667,0.755116666666667,0.717266666666667,0.722866666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-17 15:00:00,0.98185,0.938666666666667,0.8784,0.852383333333333,0.797316666666667,0.756466666666667,0.7639,"1b","1b","1b","1b","1b","1b","1b"
